窓の熱貫流率と遮蔽係数（単板ガラス・ブラインド室内側）
106
75,13,6.0,0.131,0.425,4.4,0.232,0.141,4.4,0.262,0.129,4.4,0.285,0.122
76,13,6.0,0.138,0.419,4.4,0.238,0.139,4.4,0.265,0.128,4.4,0.287,0.122
77,13,6.0,0.145,0.413,4.4,0.242,0.138,4.4,0.269,0.128,4.4,0.290,0.121
78,13,6.0,0.151,0.408,4.4,0.246,0.138,4.4,0.272,0.128,4.4,0.293,0.121
79,14,5.9,0.142,0.434,4.3,0.241,0.144,4.3,0.272,0.133,4.3,0.296,0.126
80,14,5.9,0.147,0.426,4.3,0.246,0.143,4.3,0.274,0.131,4.3,0.297,0.126
81,14,5.9,0.154,0.419,4.3,0.249,0.142,4.3,0.277,0.131,4.3,0.299,0.125
82,14,5.9,0.160,0.413,4.3,0.254,0.141,4.3,0.280,0.130,4.3,0.301,0.125
83,15,5.5,0.131,0.337,4.1,0.201,0.117,4.1,0.226,0.107,4.1,0.245,0.103
84,15,5.5,0.139,0.331,4.1,0.207,0.117,4.1,0.231,0.107,4.1,0.249,0.103
85,15,5.5,0.147,0.326,4.1,0.213,0.115,4.1,0.234,0.107,4.1,0.251,0.103
86,15,5.5,0.157,0.320,4.1,0.217,0.115,4.1,0.239,0.107,4.1,0.255,0.103
87,16,5.5,0.150,0.270,4.1,0.197,0.104,4.1,0.213,0.096,4.1,0.226,0.090
88,16,5.5,0.158,0.267,4.1,0.202,0.104,4.1,0.218,0.096,4.1,0.231,0.091
89,16,5.5,0.165,0.265,4.1,0.208,0.104,4.1,0.223,0.097,4.1,0.234,0.093
90,16,5.5,0.173,0.264,4.1,0.214,0.105,4.1,0.229,0.097,4.1,0.239,0.094
91,17,5.5,0.150,0.225,4.1,0.183,0.090,4.1,0.195,0.083,4.1,0.205,0.080
92,17,5.5,0.159,0.224,4.1,0.190,0.091,4.1,0.201,0.085,4.1,0.210,0.081
93,17,5.5,0.167,0.224,4.1,0.197,0.091,4.1,0.208,0.086,4.1,0.216,0.082
94,17,5.5,0.174,0.225,4.1,0.201,0.094,4.1,0.214,0.087,4.1,0.222,0.083
95,18,5.1,0.144,0.149,3.8,0.150,0.067,3.8,0.158,0.063,3.8,0.163,0.061
96,18,5.1,0.154,0.150,3.8,0.158,0.069,3.8,0.166,0.065,3.8,0.170,0.063
97,18,5.1,0.165,0.150,3.8,0.165,0.071,3.8,0.173,0.066,3.8,0.178,0.064
98,18,5.1,0.174,0.151,3.8,0.173,0.072,3.8,0.179,0.069,3.8,0.184,0.066
99,10,6.3,0.062,0.763,4.5,0.257,0.216,4.5,0.327,0.195,4.5,0.385,0.184
100,10,6.3,0.071,0.737,4.5,0.262,0.210,4.5,0.327,0.191,4.5,0.382,0.181
101,10,6.3,0.080,0.713,4.5,0.265,0.206,4.5,0.328,0.186,4.5,0.378,0.177
102,10,6.3,0.089,0.690,4.5,0.270,0.201,4.5,0.328,0.183,4.5,0.376,0.174
103,10,6.3,0.081,0.654,4.5,0.250,0.195,4.5,0.306,0.176,4.5,0.352,0.165
104,10,6.3,0.090,0.634,4.5,0.255,0.191,4.5,0.307,0.173,4.5,0.351,0.162
105,10,6.3,0.099,0.615,4.5,0.259,0.187,4.5,0.310,0.169,4.5,0.349,0.160
106,10,6.3,0.107,0.598,4.5,0.263,0.184,4.5,0.310,0.167,4.5,0.349,0.157
窓の熱貫流率、遮蔽係数（複層ガラス・ブラインド室内側、中空層厚さ6mm）
186
1,20,3.5,0.032,0.859,2.9,0.282,0.248,2.9,0.374,0.226,2.9,0.449,0.216
